"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"44519","AT 2019pld","22:58:44.372","+46:23:37.01","","","","","ZTF","","ZTF","ZTF19abupyxe","P48 - ZTF-Cam","","1","1","","16.21","r-ZTF","2019-08-31 07:22:04","ZTF_Bot1","",""
"44518","AT 2019plc","19:03:04.089","-22:12:00.34","","","","","ZTF","","ZTF","ZTF19abasjoc","P48 - ZTF-Cam","","1","1","","17.43","r-ZTF","2019-08-29 03:31:40","ZTF_Bot1","",""
"44517","AT 2019plb","19:17:14.875","-16:44:48.43","","","","","ZTF","","ZTF","ZTF19abrvagn","P48 - ZTF-Cam","","1","1","","19.35","g-ZTF","2019-08-28 06:12:57","ZTF_Bot1","",""
"44516","AT 2019pla","19:52:32.999","+44:41:20.06","","","","","ZTF","","ZTF","ZTF17aaawgbm","P48 - ZTF-Cam","","1","1","","18.32","r-ZTF","2019-09-04 06:17:16","ZTF_TESS","","TESS-active sector/s (14,15);TESS-Sector14;TESS-Sector15"
"44515","AT 2019pkz","19:58:29.981","+61:13:09.16","","","VII Zw 923","","ASAS-SN","","ASAS-SN","ASASSN-19wf","ASASSN-1 - Brutus, ASASSN-4 - Leavitt","","1","1","","17.2","g-Sloan","2019-09-04 06:00:00","Vallely","","TESS-active sector/s (14,15);TESS-Sector14;TESS-Sector15"
"44514","AT 2019pky","19:05:49.658","-54:32:53.30","","","GALEXASC J190549.75-543254.4","","ASAS-SN","","ASAS-SN","ASASSN-19we","ASASSN-2 - Cassius","","1","1","","17.2","g-Sloan","2019-09-04 05:16:48","Stanek","",""
"44513","AT 2019pkx","01:50:29.396","+32:34:37.43","","","SDSS J015029.23+323429.8","0.045","ALeRCE","","ALeRCE","ZTF19abwsxwh","P48 - ZTF-Cam","","1","1","","20.0143","g-ZTF","2019-09-04 11:24:39","ALeRCE","",""
"44512","AT 2019pkw","00:12:01.573","+08:46:38.41","","","SDSS J001201.60+084638.3","0.073","ALeRCE","","ALeRCE","ZTF19abwswjw","P48 - ZTF-Cam","","1","1","","20.0016","g-ZTF","2019-09-04 11:21:58","ALeRCE","",""
"44511","AT 2019pkv","00:45:57.236","-04:52:39.15","","","SDSS J004557.25-045239.5","0.142","ALeRCE","","ALeRCE","ZTF19abwstko","P48 - ZTF-Cam","","1","1","","19.6766","g-ZTF","2019-09-04 11:16:41","ALeRCE","",""
"44510","AT 2019pku","01:41:49.301","+05:00:35.86","","","SDSS J014149.09+050038.0","0.065","ALeRCE","","ALeRCE","ZTF19abuyrlj","P48 - ZTF-Cam","","1","1","","19.8961","g-ZTF","2019-09-04 11:12:24","ALeRCE","",""
